seed	score	exe_time
91	901807	4.7098433
92	895752	4.725071
93	790464	4.7114809
94	675182	4.7078545
95	645166	4.7058768
96	644253	4.706405
97	800000	4.711809
98	1040960	4.7213601
99	769960	4.7121377
100	624615	4.7063252
101	782943	4.710521
102	753952	4.7132902
103	1036801	4.7327468
104	638229	4.7179124
105	597062	4.7147301
106	813985	4.7274864
107	831220	4.7140884
108	736086	4.7134104
109	798565	4.7172875
110	773247	4.7086724
111	599078	4.7050604
112	700542	4.7166626
113	749954	4.7091392
114	578731	4.7076276
115	747887	4.7129168
116	784259	4.7081458000000005
117	600157	4.7116268
118	719593	4.7075389
119	720065	4.7101238
120	847452	4.7073756
121	840466	4.7165158
122	698467	4.7062317
123	693169	4.711563
124	737129	4.7174409
125	703335	4.7183908
126	755845	4.7326532
127	744146	4.7133074
128	699365	4.7134725
129	666318	4.7045646
130	805610	4.7094163
131	613442	4.7082173
132	813974	4.7199796
133	662736	4.7072274
134	648764	4.7054961
135	694483	4.7117341
136	649669	4.7117902
137	728038	4.7119598
138	717163	4.7120628
139	691189	4.7057547
140	925625	4.7142872
141	706460	4.7109083
142	627087	4.7113878
143	799954	4.705996
144	780123	4.7046584
145	604604	4.7098134
146	890888	4.7123723
147	695172	4.7080917
148	805169	4.7077556000000005
149	750626	4.7061942
150	687068	4.7103912
151	902950	4.71739
152	624690	4.7094932
153	696634	4.7079637000000005
154	752559	4.7162291
155	680771	4.7169072
156	783272	4.7128353
157	632850	4.7043837
158	576537	4.7221778
159	648595	4.7070882
160	644253	4.7130521000000005
161	785837	4.7113569
162	784599	4.7158667
163	809583	4.7123771
164	646618	4.7074394999999996
165	695967	4.7179782
166	983572	4.7248864
167	795792	4.7134825
168	590138	4.7097479
169	756748	4.7123007
170	738074	4.7066527
171	634067	4.706748
172	858098	4.7185868
173	717833	4.7100058
174	724083	4.7124651
175	650669	4.7105822
176	713366	4.7105514
177	858318	4.7138003
178	852595	4.7163443
179	745231	4.7148333000000004
180	626772	4.7055441
181	686050	4.7082486
182	718800	4.7075208
183	864275	4.7123308999999995
184	815387	4.7127585
185	727870	4.7124907
186	649674	4.708757
187	644900	4.7078862
188	769874	4.7065993
189	637871	4.7060251
190	819121	4.7094453000000005
191	853158	4.7086582
192	585498	4.7096167
193	705835	4.7060131
194	992676	4.7112249
195	814634	4.7080706
196	606146	4.7057584
197	700401	4.708696
198	617399	4.7060037
199	856058	4.7117069
200	645507	4.718354
201	611359	4.706299
202	670089	4.7068305
203	808772	4.7123254
204	861024	4.7081806
205	817054	4.7131703
206	600115	4.706739
207	729554	4.712167
208	776204	4.7113955
209	669265	4.7088356000000005
210	762624	4.7086391
211	689106	4.7096106
212	843476	4.7149352
213	808318	4.7085702000000005
214	656511	4.7094102
215	761963	4.7064959
216	629605	4.7088608
217	731203	4.707501
218	629744	4.7089168
219	843942	4.7081096
220	656917	4.7056889
221	748911	4.7094655
222	649521	4.7065589
223	618810	4.7050070999999996
